500 500
1000 Loc_0 5000.0
1001 Loc_1 5000.0
1002 Loc_2 5000.0
1003 Loc_3 5000.0
1004 Loc_4 5000.0
1005 Loc_5 5000.0
1006 Loc_6 5000.0
1007 Loc_7 5000.0
1008 Loc_8 5000.0
1009 Loc_9 5000.0
1010 Loc_10 5000.0
1011 Loc_11 5000.0
1012 Loc_12 5000.0
1013 Loc_13 5000.0
1014 Loc_14 5000.0
1015 Loc_15 5000.0
1016 Loc_16 5000.0
1017 Loc_17 5000.0
1018 Loc_18 5000.0
1019 Loc_19 5000.0
1020 Loc_20 5000.0
1021 Loc_21 5000.0
1022 Loc_22 5000.0
1023 Loc_23 5000.0
1024 Loc_24 5000.0
1025 Loc_25 5000.0
1026 Loc_26 5000.0
1027 Loc_27 5000.0
1028 Loc_28 5000.0
1029 Loc_29 5000.0
1030 Loc_30 5000.0
1031 Loc_31 5000.0
1032 Loc_32 5000.0
1033 Loc_33 5000.0
1034 Loc_34 5000.0
1035 Loc_35 5000.0
1036 Loc_36 5000.0
1037 Loc_37 5000.0
1038 Loc_38 5000.0
1039 Loc_39 5000.0
1040 Loc_40 5000.0
1041 Loc_41 5000.0
1042 Loc_42 5000.0
1043 Loc_43 5000.0
1044 Loc_44 5000.0
1045 Loc_45 5000.0
1046 Loc_46 5000.0
1047 Loc_47 5000.0
1048 Loc_48 5000.0
1049 Loc_49 5000.0
1050 Loc_50 5000.0
1051 Loc_51 5000.0
1052 Loc_52 5000.0
1053 Loc_53 5000.0
1054 Loc_54 5000.0
1055 Loc_55 5000.0
1056 Loc_56 5000.0
1057 Loc_57 5000.0
1058 Loc_58 5000.0
1059 Loc_59 5000.0
1060 Loc_60 5000.0
1061 Loc_61 5000.0
1062 Loc_62 5000.0
1063 Loc_63 5000.0
1064 Loc_64 5000.0
1065 Loc_65 5000.0
1066 Loc_66 5000.0
1067 Loc_67 5000.0
1068 Loc_68 5000.0
1069 Loc_69 5000.0
1070 Loc_70 5000.0
1071 Loc_71 5000.0
1072 Loc_72 5000.0
1073 Loc_73 5000.0
1074 Loc_74 5000.0
1075 Loc_75 5000.0
1076 Loc_76 5000.0
1077 Loc_77 5000.0
1078 Loc_78 5000.0
1079 Loc_79 5000.0
1080 Loc_80 5000.0
1081 Loc_81 5000.0
1082 Loc_82 5000.0
1083 Loc_83 5000.0
1084 Loc_84 5000.0
1085 Loc_85 5000.0
1086 Loc_86 5000.0
1087 Loc_87 5000.0
1088 Loc_88 5000.0
1089 Loc_89 5000.0
1090 Loc_90 5000.0
1091 Loc_91 5000.0
1092 Loc_92 5000.0
1093 Loc_93 5000.0
1094 Loc_94 5000.0
1095 Loc_95 5000.0
1096 Loc_96 5000.0
1097 Loc_97 5000.0
1098 Loc_98 5000.0
1099 Loc_99 5000.0
1100 Loc_100 5000.0
1101 Loc_101 5000.0
1102 Loc_102 5000.0
1103 Loc_103 5000.0
1104 Loc_104 5000.0
1105 Loc_105 5000.0
1106 Loc_106 5000.0
1107 Loc_107 5000.0
1108 Loc_108 5000.0
1109 Loc_109 5000.0
1110 Loc_110 5000.0
1111 Loc_111 5000.0
1112 Loc_112 5000.0
1113 Loc_113 5000.0
1114 Loc_114 5000.0
1115 Loc_115 5000.0
1116 Loc_116 5000.0
1117 Loc_117 5000.0
1118 Loc_118 5000.0
1119 Loc_119 5000.0
1120 Loc_120 5000.0
1121 Loc_121 5000.0
1122 Loc_122 5000.0
1123 Loc_123 5000.0
1124 Loc_124 5000.0
1125 Loc_125 5000.0
1126 Loc_126 5000.0
1127 Loc_127 5000.0
1128 Loc_128 5000.0
1129 Loc_129 5000.0
1130 Loc_130 5000.0
1131 Loc_131 5000.0
1132 Loc_132 5000.0
1133 Loc_133 5000.0
1134 Loc_134 5000.0
1135 Loc_135 5000.0
1136 Loc_136 5000.0
1137 Loc_137 5000.0
1138 Loc_138 5000.0
1139 Loc_139 5000.0
1140 Loc_140 5000.0
1141 Loc_141 5000.0
1142 Loc_142 5000.0
1143 Loc_143 5000.0
1144 Loc_144 5000.0
1145 Loc_145 5000.0
1146 Loc_146 5000.0
1147 Loc_147 5000.0
1148 Loc_148 5000.0
1149 Loc_149 5000.0
1150 Loc_150 5000.0
1151 Loc_151 5000.0
1152 Loc_152 5000.0
1153 Loc_153 5000.0
1154 Loc_154 5000.0
1155 Loc_155 5000.0
1156 Loc_156 5000.0
1157 Loc_157 5000.0
1158 Loc_158 5000.0
1159 Loc_159 5000.0
1160 Loc_160 5000.0
1161 Loc_161 5000.0
1162 Loc_162 5000.0
1163 Loc_163 5000.0
1164 Loc_164 5000.0
1165 Loc_165 5000.0
1166 Loc_166 5000.0
1167 Loc_167 5000.0
1168 Loc_168 5000.0
1169 Loc_169 5000.0
1170 Loc_170 5000.0
1171 Loc_171 5000.0
1172 Loc_172 5000.0
1173 Loc_173 5000.0
1174 Loc_174 5000.0
1175 Loc_175 5000.0
1176 Loc_176 5000.0
1177 Loc_177 5000.0
1178 Loc_178 5000.0
1179 Loc_179 5000.0
1180 Loc_180 5000.0
1181 Loc_181 5000.0
1182 Loc_182 5000.0
1183 Loc_183 5000.0
1184 Loc_184 5000.0
1185 Loc_185 5000.0
1186 Loc_186 5000.0
1187 Loc_187 5000.0
1188 Loc_188 5000.0
1189 Loc_189 5000.0
1190 Loc_190 5000.0
1191 Loc_191 5000.0
1192 Loc_192 5000.0
1193 Loc_193 5000.0
1194 Loc_194 5000.0
1195 Loc_195 5000.0
1196 Loc_196 5000.0
1197 Loc_197 5000.0
1198 Loc_198 5000.0
1199 Loc_199 5000.0
1200 Loc_200 5000.0
1201 Loc_201 5000.0
1202 Loc_202 5000.0
1203 Loc_203 5000.0
1204 Loc_204 5000.0
1205 Loc_205 5000.0
1206 Loc_206 5000.0
1207 Loc_207 5000.0
1208 Loc_208 5000.0
1209 Loc_209 5000.0
1210 Loc_210 5000.0
1211 Loc_211 5000.0
1212 Loc_212 5000.0
1213 Loc_213 5000.0
1214 Loc_214 5000.0
1215 Loc_215 5000.0
1216 Loc_216 5000.0
1217 Loc_217 5000.0
1218 Loc_218 5000.0
1219 Loc_219 5000.0
1220 Loc_220 5000.0
1221 Loc_221 5000.0
1222 Loc_222 5000.0
1223 Loc_223 5000.0
1224 Loc_224 5000.0
1225 Loc_225 5000.0
1226 Loc_226 5000.0
1227 Loc_227 5000.0
1228 Loc_228 5000.0
1229 Loc_229 5000.0
1230 Loc_230 5000.0
1231 Loc_231 5000.0
1232 Loc_232 5000.0
1233 Loc_233 5000.0
1234 Loc_234 5000.0
1235 Loc_235 5000.0
1236 Loc_236 5000.0
1237 Loc_237 5000.0
1238 Loc_238 5000.0
1239 Loc_239 5000.0
1240 Loc_240 5000.0
1241 Loc_241 5000.0
1242 Loc_242 5000.0
1243 Loc_243 5000.0
1244 Loc_244 5000.0
1245 Loc_245 5000.0
1246 Loc_246 5000.0
1247 Loc_247 5000.0
1248 Loc_248 5000.0
1249 Loc_249 5000.0
